id,node,cnt
2945,Nepal,73
3026,Nuclear_weapon,73
4157,Tokyo,73
4240,Tuberculosis,73
63,9th_century,72
698,British_Isles,72
859,Charles_II_of_England,72
1020,Constitutional_monarchy,72
1309,Education,72
1381,Engineering,72
1414,Estonia,72
1638,Gas,72
2076,Ice_age,72
2370,Kuwait,72
2417,Latvia,72
3009,North_Korea,72
3674,Seed,72
3685,September_11%2C_2001_attacks,72
11,14th_century,71
1721,Global_warming,71
2025,Human_rights,71
2872,Munich,71
3324,Potassium,71
3923,Sulfur,71
4576,Zambia,71
320,Archbishop_of_Canterbury,70
1792,Greek_mythology,70
2289,Jordan,70
3777,Soil,70
4003,Technology,70
382,Atom,69
923,City,69
1795,Greenland,69
1885,Helium,69
3537,Ronald_Reagan,69
3967,Sydney,69
4317,Uranium,69
645,Bolivia,68
910,Christopher_Columbus,68
1190,Diamond,68
1252,Dublin,68
1652,Genetics,68
2693,Mauritania,68
4296,United_States_Senate,68
4557,Yemen,68
4585,Zinc,68
2591,Madrid,67
2673,Marxism,67
2914,Napoleonic_Wars,67
3569,Rwanda,67
3726,Sierra_Leone,67
4335,Vatican_City,67
225,American_football,66
712,Brussels,66
850,Chad,66
1811,Guinea,66
2984,Nile,66
3146,Panama,66
3330,Pound_sterling,66
4059,The_Holocaust,66
7,10th_century,65
474,Baseball,65
701,British_monarchy,65
846,Cereal,65
899,Chlorine,65
1550,Forest,65
2409,Laos,65
2978,Niger,65
3010,North_Sea,65
3331,Poverty,65
3950,Supreme_Court_of_the_United_States,65
4012,Temperate,65
4291,United_States_Congress,65
4324,Uzbekistan,65
576,Bill_Clinton,64
860,Charles_I_of_England,64
1226,Dominican_Republic,64
1375,Employment,64
3365,Psychology,64
3774,Sodium,64
4294,United_States_House_of_Representatives,64
60,7th_century,63
233,Amsterdam,63
462,Barbados,63
1024,Continent,63
1118,DVD,63
1364,Elizabeth_I_of_England,63
1545,Food,63
1705,Glacier,63
2501,List_of_countries,63
2801,Mohs_scale_of_mineral_hardness,63
2902,Mythology,63
3159,Parliament_of_the_United_Kingdom,63
3844,Sport,63
98,Abraham_Lincoln,62
278,Anno_Domini,62
692,Bristol,62
727,Burkina_Faso,62
737,C%C3%B4te_d%27Ivoire,62
791,Cape_Verde,62
2009,House_of_Lords,62
3341,Prime_Minister_of_the_United_Kingdom,62
3389,Quantum_mechanics,62
4031,The_Bahamas,62
4129,Tibet,62
4190,Tree,62
4300,Universe,62
147,Age_of_Enlightenment,61
665,Botswana,61
1708,Glasgow,61
2454,Liberia,61
3037,Oceania,61
3117,Oxford,61
4009,Telescope,61
4033,The_Beatles,61
4185,Transport,61
583,Biodiversity,60
705,Bronze_Age,60
1088,Crystal,60
1384,English_Channel,60
1579,Franklin_D._Roosevelt,60
2263,John_F._Kennedy,60
2428,League_of_Nations,60
2481,Lion,60
2720,Melbourne,60
2729,Mercury_%28element%29,60
3160,Parliamentary_system,60
3483,Rice,60
4152,Tobacco,60
551,Benin,59
805,Caribbean_Sea,59
959,Coffee,59
1615,Gabon,59
1815,Gulf_of_Mexico,59
1919,Herbivore,59
2305,Jupiter,59
2637,Manufacturing,59
2843,Mosque,59
3242,Piano,59
3332,Prague,59
3382,Qatar,59
3731,Silicon,59
3758,Snow,59
4284,United_Arab_Emirates,59
4456,Wheat,59
748,Cairo,58
928,Civilization,58
1758,Granite,58
2077,Ice_hockey,58
2176,Istanbul,58
4112,Thomas_Jefferson,58
4145,Tin,58
4505,Wine,58
4510,Winter,58
8,11th_century,57
448,Baltic_Sea,57
471,Baroque,57
854,Charlemagne,57
1288,Eastern_Orthodox_Church,57
2610,Malaria,57
2791,Mississippi_River,57
3441,Red_Sea,57
4155,Togo,57
4528,World_Health_Organization,57
364,Asteroid,56
442,Baghdad,56
856,Charles_Darwin,56
1416,Ethics,56
1993,Homer,56
2158,Irrigation,56
2522,Liverpool,56
2784,Minnesota,56
2824,Montreal,56
3768,Society,56
4321,Uruguay,56
593,Birmingham,55
728,Burundi,55
935,Clay,55
1451,Extinction,55
1934,Hindi,55
2004,Horse,55
2462,Life,55
4095,Theatre,55
4180,Trade_union,55
4517,Wood,55
57,5th_century,54
289,Anthropology,54
678,Brain,54
838,Cell_%28biology%29,54
1291,Ecology,54
1454,Eye,54
1543,Folk_music,54
1655,Genoa,54
1682,George_Washington,54
1814,Guitar,54
1932,Himalayas,54
2155,Iron_Age,54
2682,Mass_media,54
2744,Mexico_City,54
3260,Plate_tectonics,54
3660,Sculpture,54
3696,Seychelles,54
3701,Shanghai,54
3983,Tajikistan,54
175,Alchemy,53
230,Ammonia,53
325,Arctic,53
1182,Desert,53
1247,Drought,53
1657,Geography,53
2294,Joseph_Stalin,53
3061,Oman,53
3203,Persian_Gulf,53
3396,Qur%27an,53
3419,Rain,53
4022,Terrorism,53
4252,Turkmenistan,53
4568,Yugoslavia,53
61,8th_century,52
177,Alcohol,52
843,Central_African_Republic,52
1472,Fascism,52
1807,Guatemala,52
1812,Guinea-Bissau,52
2446,Lesotho,52
2808,Monaco,52
3960,Swaziland,52
4023,Textile,52
4405,Warsaw,52
234,Amtrak,51
1000,Comoros,51
2374,Kyrgyzstan,51
2660,Mars,51
2973,Nickel,51
3151,Papua_New_Guinea,51
3235,Photosynthesis,51
3274,Pneumonia,51
376,Atlanta%2C_Georgia,50
535,Beer,50
1214,Djibouti,50
1218,Dog,50
1400,Equatorial_Guinea,50
1415,Ethanol,50
1936,Hip_hop_music,50
2320,Karl_Marx,50
2475,Linguistics,50
3091,Organism,50
3309,Pope_John_Paul_II,50
3311,Popular_culture,50
3929,Summer,50
4368,Vladimir_Lenin,50
4546,Xenon,50
223,American_Revolutionary_War,49
1478,Federal_Bureau_of_Investigation,49
1531,Flood,49
1665,Geometry,49
2053,Hurricane_Katrina,49
2170,Isle_of_Man,49
2211,James_I_of_England,49
2300,Julius_Caesar,49
2612,Malawi,49
3467,Republic_of_the_Congo,49
3490,Richard_Nixon,49
4001,Tea,49
51,4th_century,48
445,Bahrain,48
466,Barcelona,48
603,Black_Death,48
941,Climate_change,48
1351,Electronics,48
1405,Eritrea,48
1581,Franks,48
1699,Gibraltar,48
1821,Guyana,48
1833,HIV,48
1876,Heat,48
1996,Honduras,48
2893,Musical_instrument,48
3056,Oliver_Cromwell,48
3905,Stroke,48
3911,Sub-Saharan_Africa,48
4087,The_Simpsons,48
4098,Theodore_Roosevelt,48
4344,Vertebrate,48
245,Andes,47
710,Brunei,47
719,Budapest,47
966,Cologne,47
1284,East_Africa,47
1500,Fiji,47
1544,Folklore,47
2115,Infrastructure,47
2307,Jurassic,47
2416,Latin_alphabet,47
2802,Moldova,47
4292,United_States_Constitution,47
4444,Western_Sahara,47
27,1st_century,46
238,Anarchism,46
720,Buddha,46
1504,Finance,46
1774,Great_Lakes,46
1804,Guadeloupe,46
2019,Hubble_Space_Telescope,46
2268,John_Locke,46
2822,Montenegro,46
3298,Pollution,46
3367,Ptolemy,46
3563,Russian_Revolution_of_1917,46
3877,Statistics,46
333,Argon,45
349,Arthropod,45
565,Bermuda,45
571,Bhutan,45
693,British_East_India_Company,45
977,Comet,45
1033,Copenhagen,45
1623,Galileo_Galilei,45
2011,Houston%2C_Texas,45
2480,Linux,45
3234,Photon,45
3421,Rainforest,45
3771,Sociology,45
3917,Suez_Canal,45
4140,Time,45
4234,Tropics,45
59,6th_century,44
153,Aircraft,44
297,Antwerp,44
731,Business,44
1050,Costa_Rica,44
1225,Dominica,44
1356,Elephant,44
2461,Liechtenstein,44
2928,Natural_selection,44
3362,Proton,44
3546,Royal_Air_Force,44
3924,Sulfuric_acid,44
4149,Titanium,44
4162,Tony_Blair,44
263,Anglican_Communion,43
372,Atheism,43
723,Buenos_Aires,43
862,Charles_V%2C_Holy_Roman_Emperor,43
1136,Danube,43
1170,Delhi,43
1434,European_Parliament,43
1493,Fertilizer,43
1805,Guam,43
1924,Herodotus,43
2089,Immanuel_Kant,43
2150,Irish_people,43
2210,James_II_of_England,43
2512,List_of_sovereign_states,43
2617,Maldives,43
2755,Microsoft,43
2756,Microsoft_Windows,43
2929,Nature,43
3327,Potato,43
3328,Pottery,43
3407,Radar,43
3477,Rhine,43
3895,Stockholm,43
4007,Telephone,43
4195,Triassic,43
4336,Vegetable,43
4521,Woodrow_Wilson,43
4580,Zeus,43
115,Actor,42
125,Advertising,42
392,Augustine_of_Hippo,42
451,Banana,42
1286,East_Timor,42
1342,Electric_charge,42
1347,Electromagnetic_radiation,42
1469,Famine,42
1916,Heraldry,42
2658,Market,42
2671,Martinique,42
2998,Nobel_Peace_Prize,42
3049,Old_English_language,42
3216,Philadelphia,42
3573,S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,42
3587,Saint_Lucia,42
3606,San_Francisco%2C_California,42
4189,Treaty_of_Versailles,42
4238,Tsunami,42
4485,William_III_of_England,42
246,Andorra,41
443,Bah%C3%A1%27%C3%AD_Faith,41
776,Canal,41
819,Caspian_Sea,41
1094,Cultivar,41
1126,Damascus,41
2532,Logic,41
2770,Milk,41
2862,Muhammad,41
2870,Mumbai,41
3090,Oregon,41
3229,Phosphorus,41
3414,Radon,41
3846,Spring_%28season%29,41
3986,Tamil_language,41
4056,The_Hague,41
4376,Voltaire,41
545,Belize,40
1008,Computer_science,40
1135,Dante_Alighieri,40
1653,Geneva,40
1800,Grenada,40
2075,Ice,40
2690,Matter,40
3131,Painting,40
3233,Photography,40
3466,Republic_of_Macedonia,40
3581,Sahara,40
3610,Sand,40
4053,The_Gambia,40
264,Anglicanism,39
393,Augustus,39
812,Carnivore,39
1046,Corrosion,39
1069,Crime,39
1338,El_Salvador,39
1452,Extrasolar_planet,39
1474,Fatty_acid,39
1674,George_III_of_the_United_Kingdom,39
1725,Glorious_Revolution,39
1847,Hamburg,39
2126,International_Space_Station,39
2453,Liberalism,39
2516,Literacy,39
2604,Mahatma_Gandhi,39
2730,Mercury_%28planet%29,39
2966,Newspaper,39
3152,Paraguay,39
3246,Pig,39
3385,Qing_Dynasty,39
3544,Rotterdam,39
3662,Sea,39
3678,Semiconductor,39
118,Adam_Smith,38
140,African_Union,38
424,Aztec,38
857,Charles_Dickens,38
877,Chess,38
902,Cholera,38
1045,Corporation,38
1085,Crust_%28geology%29,38
1526,Flanders,38
1606,Fungus,38
2630,Manganese,38
2647,Margaret_Thatcher,38
2667,Martin_Luther,38
2741,Meteorology,38
2787,Miocene,38
3629,Saurischia,38
3754,Smallpox,38
3834,Speed_of_light,38
4130,Tide,38
4530,World_Trade_Organization,38
790,Cape_Town,37
1084,Crusades,37
1125,Dam,37
1216,Doctor_Who,37
1239,Drama,37
1265,Dwight_D._Eisenhower,37
1313,Edward_III_of_England,37
1341,Election,37
1508,Fire,37
1577,Frankfurt,37
2136,Invertebrate,37
2358,Kosovo,37
2708,Meat,37
2761,Mikhail_Gorbachev,37
3173,Paul_of_Tarsus,37
3272,Plutonium,37
3502,River_Thames,37
3520,Rocky_Mountains,37
3702,Shark,37
3927,Sumatra,37
3928,Sumer,37
3993,Taoism,37
4168,Tornado,37
4182,Train,37
4332,Vanuatu,37
4341,Venus,37
4364,Vitamin_C,37
4428,Weather,37
28,1st_century_BC,36
328,Arctic_Ocean,36
765,Cambridge,36
997,Communication,36
1013,Confucianism,36
1419,Ethnic_group,36
1471,Faroe_Islands,36
2062,Hydrochloric_acid,36
2244,Jimmy_Carter,36
2337,Kiev,36
2563,Luftwaffe,36
2773,Milky_Way,36
3416,Rail_transport,36
3669,Seattle%2C_Washington,36
4175,Tower_of_London,36
126,Aesthetics,35
1476,Feather,35
1747,Gottfried_Leibniz,35
1864,Harry_S._Truman,35
2484,Lisbon,35
2597,Magma,35
3284,Police,35
3293,Political_science,35
3391,Quartz,35
3406,Race,35
3583,Saint_Helena,35
3671,Second_Boer_War,35
3714,Ship,35
3795,Sound,35
3804,Southern_Africa,35
4197,Tribe,35
4204,Trinidad_and_Tobago,35
4513,Wolfgang_Amadeus_Mozart,35
4562,York,35
40,21st_century,34
347,Arsenic,34
366,Astrology,34
695,British_English,34
914,Chromium,34
921,Citizenship,34
1086,Crustacean,34
1274,Eagle,34
1620,Galaxy,34
2230,Jean-Jacques_Rousseau,34
2234,Jersey,34
2255,Johannesburg,34
2443,Leonardo_da_Vinci,34
2556,Louis_XIV_of_France,34
2663,Marseille,34
2778,Ming_Dynasty,34
2940,Nelson_Mandela,34
3205,Perth%2C_Western_Australia,34
3397,R%C3%A9union,34
3493,Richard_Wagner,34
3787,Solomon_Islands,34
3951,Suriname,34
4361,Virus,34
4441,West_Virginia,34
4453,Whale,34
436,Babylonia,33
634,Bob_Dylan,33
922,Citrus,33
924,City_status_in_the_United_Kingdom,33
926,Civil_rights,33
1223,Domestic_goat,33
1546,Football,33
1559,Fossil_fuel,33
1680,George_V_of_the_United_Kingdom,33
2456,Library,33
2655,Mark_Twain,33
3053,Oligarchy,33
3147,Panama_Canal,33
3478,Rhode_Island,33
3609,San_Marino,33
3724,Siege,33
3836,Sphere,33
4500,Wind,33
43,3rd_century,32
468,Barley,32
555,Benjamin_Franklin,32
689,Bridge,32
1001,Compact_Disc,32
1153,David_Hume,32
1169,Deity,32
1186,Detroit%2C_Michigan,32
1231,Dorset,32
1639,Gas_giant,32
1672,George_H._W._Bush,32
1898,Henry_II_of_England,32
1997,Honey,32
2582,Macau,32
2638,Mao_Zedong,32
2700,Maya_civilization,32
2702,Mayotte,32
2709,Mecca,32
2922,National_Hockey_League,32
3083,Order_of_the_Garter,32
3120,Ozone,32
3262,Platinum,32
3287,Polish-Lithuanian_Commonwealth,32
3292,Political_philosophy,32
3458,Ren%C3%A9_Descartes,32
3482,Rhythm_and_blues,32
3832,Special_relativity,32
4243,Tungsten,32
4304,University_of_Chicago,32
41,2nd_century,31
240,Anatomy,31
411,Autumn,31
575,Big_Bang,31
823,Cat,31
887,Chicken,31
1073,Crimean_War,31
1316,Edward_I_of_England,31
1320,Edward_VII_of_the_United_Kingdom,31
1467,Falkland_Islands,31
1497,Fiction,31
1589,French_Guiana,31
1595,Fresh_water,31
2212,James_Joyce,31
2754,Microscope,31
3107,Ottawa,31
3127,Pablo_Picasso,31
3133,Palace_of_Westminster,31
3344,Princeton_University,31
3523,Roman_Britain,31
3918,Suffrage,31
4161,Tonga,31
4488,William_I_of_England,31
290,Antigua_and_Barbuda,30
365,Asthma,30
524,Beach,30
543,Belfast,30
567,Bertrand_Russell,30
801,Carboniferous,30
945,Cloud,30
1220,Dolphin,30
1548,Force,30
1908,Henry_VII_of_England,30
2093,Inca_Empire,30
2111,Indus_Valley_Civilization,30
2138,Iodine,30
2250,Johann_Sebastian_Bach,30
2322,Kashmir_region,30
2363,Krypton,30
2598,Magna_Carta,30
2734,Mestizo,30
2813,Money,30
3499,Rio_de_Janeiro,30
3589,Saint_Vincent_and_the_Grenadines,30
3683,Seoul,30
3727,Sigmund_Freud,30
4111,Thomas_Hobbes,30
4363,Vitamin,30
4374,Volleyball,30
4422,Wave,30
85,Abbasid,29
222,American_English,29
276,Anne_of_Great_Britain,29
302,Apollo,29
449,Baltimore%2C_Maryland,29
460,Bantu,29
573,Bicycle,29
960,Coin,29
1124,Dallas%2C_Texas,29
1366,Elvis_Presley,29
1420,Euclid,29
1423,Euphrates,29
1806,Guangzhou,29
2200,Jakarta,29
2207,James_Cook,29
2253,Johannes_Kepler,29
2451,Liberal_Democrats,29
2562,Ludwig_van_Beethoven,29
2745,Miami%2C_Florida,29
2750,Michelangelo,29
3001,Norfolk,29
3137,Paleontology,29
3348,Privy_Council_of_the_United_Kingdom,29
3600,Samoa,29
3728,Sikhism,29
4330,Vancouver,29
4358,Virgil,29
4504,Windsor_Castle,29
33,2004_Indian_Ocean_earthquake,28
362,Assyria,28
384,Attack_on_Pearl_Harbor,28
853,Channel_Islands,28
916,Church_of_Ireland,28
953,Coconut,28
1343,Electric_field,28
1539,Fluorine,28
1779,Great_Rift_Valley,28
2114,Information,28
2585,Macedon,28
2664,Marshall_Islands,28
2930,Nauru,28
3190,Pennsylvania_Railroad,28
3259,Plasma_%28physics%29,28
3431,Raphael,28
3529,Roman_mythology,28
3808,Southern_United_States,28
3937,Sunlight,28
3988,Tank,28
4119,Thorium,28
4306,Unix,28
4378,Vowel,28
4443,Western_Roman_Empire,28
280,Ant,27
313,Arable_land,27
530,Bede,27
589,Biotechnology,27
646,Bologna,27
658,Boron,27
664,Botany,27
752,Calculus,27
938,Cleveland%2C_Ohio,27
944,Clothing,27
948,Cobalt,27
1014,Confucius,27
1129,Dance,27
1596,Friedrich_Nietzsche,27
1722,Globalization,27
2182,Ivory,27
2206,James_Clerk_Maxwell,27
2353,Kolkata,27
2537,London_Underground,27
2634,Manila,27
2814,Mongol_Empire,27
2925,Nationality,27
2942,Neoclassicism,27
3005,Norse_mythology,27
3024,Nuclear_fission,27
3210,Peter_Paul_Rubens,27
3248,Pigment,27
3453,Reggae,27
3650,Scots_language,27
3668,Season,27
3871,Star_Wars,27
3925,Sultan,27
34,2005_Atlantic_hurricane_season,26
193,Algorithm,26
270,Animal_rights,26
388,Auckland,26
592,Bird_of_prey,26
717,Buckingham_Palace,26
1015,Congo_River,26
1042,Cornell_University,26
1078,Crocodile,26
1242,Dresden,26
1345,Electrical_resistance,26
1374,Empiricism,26
1468,Family,26
1648,Gender,26
2026,Humanism,26
2102,Indian_independence_movement,26
2257,John_Adams,26
2328,Kerala,26
2987,Nintendo,26
3025,Nuclear_power,26
3094,Orkney,26
3188,Penguin,26
3200,Permian,26
3218,Philip_II_of_Spain,26
3356,Property,26
3571,S%C3%A3o_Paulo,26
3585,Saint_Kitts_and_Nevis,26
3824,Spanish_Armada,26
3921,Sugarcane,26
4206,Trinity_College%2C_Cambridge,26
4259,Tuvalu,26
4280,Ulysses_S._Grant,26
4426,Weapon,26
4434,Welding,26
375,Athletics_%28track_and_field%29,25
531,Bee,25
766,Camel,25
844,Central_processing_unit,25
868,Cheese,25
893,Chimpanzee,25
952,Cocoa,25
1138,Dark_Ages,25
1323,Edward_the_Confessor,25
1394,Eocene,25
1422,Eukaryote,25
1540,Flute,25
1598,Frog,25
1654,Genghis_Khan,25
1808,Guernsey,25
2119,Integrated_circuit,25
2412,Las_Vegas%2C_Nevada,25
2452,Liberal_democracy,25
2574,Lyon,25
2765,Military_dictatorship,25
2776,Mind,25
2805,Molybdenum,25
2806,Momentum,25
2826,Montserrat,25
2944,Neon,25
2948,Neptune,25
3041,Odyssey,25
3317,Portsmouth,25
3484,Richard_Feynman,25
3653,Scottish_Gaelic_language,25
3879,Steam_engine,25
3976,T._S._Eliot,25
4102,Theropoda,25
4106,Thomas_Aquinas,25
4153,Tobacco_smoking,25
4257,Turtle,25
4264,Tyrannosaurus,25
4487,William_IV_of_the_United_Kingdom,25
4539,Writing,25
4588,Zionism,25
90,Aberdeen,24
154,Aircraft_carrier,24
271,Animation,24
353,Arthur_Wellesley%2C_1st_Duke_of_Wellington,24
355,Aruba,24
373,Athena,24
485,Bat,24
523,Bay_of_Bengal,24
611,Black_pepper,24
804,Cardiff,24
1187,Devonian,24
1251,Dubai,24
1461,FIFA_World_Cup,24
1491,Fern,24
1552,Formula_One,24
1560,Fossil_record,24
1686,Gerald_Ford,24
1817,Gunpowder,24
2603,Mahabharata,24
2668,Martin_Luther_King%2C_Jr.,24
2675,Mary_I_of_England,24
2841,Mosaic,24
2954,New_Caledonia,24
2955,New_Delhi,24
3096,Ornithischia,24
3115,Owl,24
3290,Political_economy,24
3368,Publishing,24
3470,Retina,24
3775,Sodium_hydroxide,24
3786,Solar_eclipse,24
3805,Southern_Ocean,24
3868,Star_Trek,24
3909,Stuttgart,24
4134,Tigris,24
4433,Weimar_Republic,24
4438,Wessex,24
182,Alexander_Hamilton,23
207,Alternating_current,23
306,Apple,23
508,Battle_of_Normandy,23
526,Bear,23
588,Biosphere,23
595,Bismuth,23
619,Blaise_Pascal,23
620,Blitzkrieg,23
685,Bread,23
1243,Drinking_water,23
1457,Ezra_Pound,23
